artist,avg_popularity
Onda Sabanera,79.2556634304207
Keane,79.25
Ke Personajes,79.242954810738681
Christian Nodal,79.2323619631902
Dj Lc,79.228723404255319
Meghan Trainor,79.202531645569621
CountryBeat,79.185185185185176
Félix,79.185185185185176
Léo Souzza,79.185185185185176
Kiko Rivera,79.175572519083957
Seu Jorge,79.138059701492537
Youjeen,79.1
HYBS,79.0840336134454
Lola Amour,79.079207920792072
Kumaar,79.071942446043153
Mc Leozin,79.070110701107012
YOVNGCHIMI,79.057401812688823
DJ JOAO DA INESTAN,79.051401869158866
Prabh Singh,79.0288624787776
Jay Trak,79.0288624787776
Rockwell,79
Mariah Angeliq,79
JAY-Z,79
MC SQUARE,79
Devano,79
Indila,79
The Verve,79
Riar Saab,79
Abhijay Sharma,79
MARINA,79
Zerrin Özer,78.962025316455708
Yan Block,78.95731324544883
Arthur Miguel,78.956521739130437
MC Ryan SP,78.945
Becky Hill,78.925233644859816
Elley Duhé,78.922413793103445
Whethan,78.922413793103445
Andra & The Backbone,78.913580246913568
Rihanna,78.896296296296285
Rusherking,78.889364739471787
Seventeen,78.8860398860399
Awdella,78.8716577540107
J Abdiel,78.86363636363636
ELENA ROSE,78.847975553857893
Wizzard,78.84482758620689
Yuridia,78.843137254901961
MC PH,78.842411038489473
Feby Putri,78.8397997496871
Dudy Oris,78.833333333333329
Russ Millions,78.826923076923066
JVKE,78.817164179104466
Vishal Mishra,78.79638671875
Lou Garcia,78.78723404255318
BAEKHYUN,78.76315789473685
Eminem,78.752151462994846
Dj Vitin do Pc,78.751724137931035
MC JF,78.751724137931035
MC NAHARA,78.751724137931035
Mon Laferte,78.75
Jefferson Moraes,78.743589743589752
Jungeli,78.7326633165829
Imen Es,78.7326633165829
Abou Debeing,78.7326633165829
Stevie Wonder,78.727272727272734
Ugovhb,78.714285714285722
EF,78.714285714285722
Cliff Richard,78.714285714285708
Nadhif Basalamah,78.658045977011483
Zé Neto & Cristiano,78.640877598152414
Rooh Sandhu,78.64
Niclov,78.610389610389618
Baron,78.610389610389618
Raj Ranjodh,78.600000000000009
Ryan Castro,78.57565789473685
Nabila Taqiyyah,78.571428571428584
TONEEJAY,78.56613756613757
JC NO BEAT,78.565217391304344
DJ F7,78.565217391304344
MC Meno Dani,78.565217391304344
Silva Mc,78.565217391304344
Dilaw,78.564814814814824
Kill Eva,78.5625
ENCASSATOR,78.5625
Aditya A,78.5529411764706
King,78.543710021321957
Zak Abel,78.540540540540533
Kirsty MacColl,78.54
Sai Smriti,78.535864978902964
Jed Baruelo,78.535211267605646
Sachet-Parampara,78.50130548302873
Jósean Log,78.5
Pedro Lotto,78.489361702127653
Parampara Tandon,78.484375000000014
Bhupinder Babbal,78.474708171206217
erobé,78.468354430379748
KXXMA,78.468354430379748
Lyfrix,78.468354430379748
Chase & Status,78.445339470655924
Remp,78.425531914893611
Sachet Tandon,78.4201030927835
Hindia,78.401244167962687
Harshavardhan Rameshwar,78.3968253968254
Baby Lasagna,78.396166134185307
Jaque Mate,78.394495412844023
Carlos Manjarrez,78.394495412844023
Franco De Vita,78.38666666666667
The Runner,78.380208333333343
Maki,78.379439252336439
Manu,78.379396984924625
Tz da Coronel,78.367213114754108
MC Paulin da Capital,78.350694444444429
Eartha Kitt,78.339805825242721
Henri René and His Orchestra,78.339805825242721
Mahalini,78.335841956726242
Supernova Ent,78.315625000000011
Nagalli,78.307174887892387
Renn,78.305755395683448
Yexel,78.305755395683448
Daddy Yankee,78.2751677852349
Zion & Lennox,78.2751677852349
Radja,78.26530612244899
NATTAN,78.2554347826087
Manan Bhardwaj,78.246153846153845
Janine,78.232758620689665
Skillibeng,78.222222222222229
Victor Cibrian,78.206521739130437
Virgoun,78.203703703703709
Chief Keef,78.1969111969112
aespa,78.181351582549183
Dygta,78.167785234899327
Kamasean,78.167785234899327
MoBlack,78.159292035398224
Salif Keita,78.159292035398224
Benja (NL),78.159292035398224
Franc Fala,78.159292035398224
Cesária Evora,78.159292035398224
Sai Abhyankkar,78.146529562982025
ABBA,78.142857142857153
Maná,78.142857142857139
Dom Dolla,78.138613861386148
Salma Salsabil,78.137755102040828
Irama,78.13000000000001
João Gomes,78.129629629629619
Love Funk,78.111413043478251
Kevin AMF,78.104838709677423
Damas Gratis,78.104651162790717
xxanteria,78.0968992248062
Tunvao,78.096774193548384
Yeri Mua,78.0823970037453
Emilia,78.073334398466216
HISTED,78.072463768115938
TXVSTERPLAYA,78.072463768115938
Jozzy,78.071428571428569
Denny,78.053571428571431
Rahul Mishra,78.053571428571431
Jazzy,78.048780487804862
Alonzo,78.048030739673408
Dei V,78.0308153220629
Gabb MC,78.021582733812934
LATIN MAFIA,78.014084507042242
MYA,78.013392857142847
Robleis,78.013392857142847
Zac Brown Band,78
Anvita Dutt,78
Jim Legxacy,78
Neil Diamond,78
Men At Work,78
Vionita,77.986301369863014
LAGOS,77.986111111111114
Tucker Wetmore,77.982456140350891
Chefin,77.970660146699259
P!nk,77.967741935483872
WIU,77.954293628808855
Suara Kayu,77.953757225433534
Canozan,77.947115384615373
Gurpreet Saini,77.935064935064943
Billy Gillies,77.934865900383144
Hannah Boleyn,77.934865900383144
slimedemidemislime,77.906504065040664
Madman Stan,77.906504065040664
gins&melodies,77.897849462365585
Sonny Fodera,77.895027624309421
Raghav,77.888392857142847
elijah woods,77.885
Palma,77.883817427385893
Marquinho no Beat,77.875
El Joan,77.866666666666674
Celso El Potente,77.866666666666674
Lewis Somes,77.856711915535442
Octavian,77.851428571428571
Peter Plate,77.851428571428571
Ulf Leo Sommer,77.851428571428571
Udo Lindenberg,77.846153846153854
MK,77.833333333333343
Blake Shelton,77.830409356725156
